name,retail_price,est_value,category,item_num,property,exclusive_to,picture,release_year,tags
'Mega Man (8-bit)',12,10,'8-Bit',13,'Mega Man','Gamestop','https://s3-us-west-1.amazonaws.com/toys-jk/mega-man-8bit.jpg',2017,'regular'
'Bullseye',9,80,'Ad Icons',5,'Target','Target','https://s3-us-west-1.amazonaws.com/toys-jk/bullseye-target.jpg',2016,'regular'
'Geoffrey',10,50,'Ad Icons',12,'Toys R Us','Toys R Us','https://s3-us-west-1.amazonaws.com/toys-jk/geoffrey.jpg',2017,'regular'
'Badman Vegeta',12.50,20,'Animation',158,'Dragon Ball','Hot Topic','https://s3-us-west-1.amazonaws.com/toys-jk/vegeta-badman.jpg',2016,'regular'
'Bender',10,21,'Animation',29,'Futurama','common','https://s3-us-west-1.amazonaws.com/toys-jk/bender.jpg',2015,'regular'
'Bulma',10,10,'Animation',108,'Dragon Ball','common','https://s3-us-west-1.amazonaws.com/toys-jk/bulma.jpg',2016,'regular'
'Fry',10,10,'Animation',27,'Futurama','common','https://s3-us-west-1.amazonaws.com/toys-jk/fry.jpg',2015,'regular'
'Cat in the Hat (Fish Bowl)',11,9,'Books',9,'Dr. Seuss','Books-A-Million','https://s3-us-west-1.amazonaws.com/toys-jk/cat-in-the-hat-fishbowl.jpeg',2017,'regular'
'Conan as Ant-Man',0,65,'Conan',16,'Conan','Team Coco San Diego Comic Con','https://s3-us-west-1.amazonaws.com/toys-jk/conan-ant-man.png',2018,'SDCC'
'Abominable Snowman',20,95,'Disney',289,'Disneyland','Disney Parks','https://s3-us-west-1.amazonaws.com/toys-jk/abominable-snowman.jpg',2017,'regular'
'Freddy Funko Alien (Ray Gun)',0,105,'Freddy Funko','SE','Funko','Funko Fundays','https://s3-us-west-1.amazonaws.com/toys-jk/freddy-funko-alien.png',2018,'SDCC'
'Ghost',10,10,'Game of Thrones',19,'Game of Thrones','common','https://s3-us-west-1.amazonaws.com/toys-jk/ghost.jpg',2014,'regular'